housename,location,houseprice,time_of_completion
"
东海闲湖城
","
                              ［余杭-闲林］天目山西路277号                            ",25855,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
保利东湾(西区)
","
                              ［江干-下沙沿江］24号大街,近20号大街                            ",26981,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿城春江花月
","
                              ［上城-南星］钱江路158号                            ",53939,"<p class=""date"">竣工日期：2006年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
星都花园
","
                              ［萧山-萧山市区］市心中路325号                            ",21263,"<p class=""date"">竣工日期：2000年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
广厦天都城天河苑
","
                              ［余杭-星桥］场环路,近天都路                            ",21216,"<p class=""date"">竣工日期：2007年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
东厦东港
","
                              ［余杭-临平北］星河路,近北沙西路                            ",20836,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
伊萨卡国际城
","
                              ［江干-下沙沿江］14号大街,近沿江大道                            ",24719,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
高桥小区
","
                              ［萧山-萧山市区］高桥路                            ",28223,"<p class=""date"">竣工日期：1994年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
万科西溪蝶园
","
                              ［西湖-西溪］紫霞街333号                            ",50546,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
新江花园
","
                              ［江干-九堡客运站］通盛路,近银堡街                            ",26796,"<p class=""date"">竣工日期：2006年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
城发云锦城
","
                              ［江干-长睦］临丁路                            ",26970,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
回澜南苑
","
                              ［萧山-萧山市区］回澜路228号                            ",27040,"<p class=""date"">竣工日期：1996年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
东裕华庭
","
                              ［萧山-临江新城］经五路,近123县道                            ",11758,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
理想康城一品
","
                              ［余杭-临平］人民大道258号                            ",29527,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
南城景园
","
                              ［萧山-杭州南站］里士湖路588号                            ",21509,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
青山鹤岭
","
                              ［临安-临安］鹤亭大街                            ",15060,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
顺发康庄
","
                              ［萧山-钱江世纪城］萧钱线                            ",33401,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
学士桥小区
","
                              ［萧山-萧山市区］育才路402号                            ",24594,"<p class=""date"">竣工日期：1995年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金成英特学府
","
                              ［余杭-中泰］天目山西路,近城东路                            ",20847,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金都夏宫(公寓)
","
                              ［余杭-临平北］北沙西路,近星河路                            ",21283,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
武林壹号
","
                              ［拱墅-湖墅］湖墅南路66号                            ",101239,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿都湖滨花园
","
                              ［萧山-萧山市区］金山路,近博学路                            ",34728,"<p class=""date"">竣工日期：2008年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
顺发佳境天城
","
                              ［萧山-钱江世纪城］市心北路737号                            ",39740,"<p class=""date"">竣工日期：2007年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
郡望府
","
                              ［萧山-新街］建设四路,近枫香路                            ",27003,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
江东府
","
                              ［萧山-江东新城］义盛路450号                            ",18935,"<p class=""date"">竣工日期：2005年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
德意空港国际
","
                              ［萧山-空港新城］靖江路618号                            ",18934,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿城玉园
","
                              ［余杭-临平］人民大道,近新丰路                            ",35351,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金基晓庐
","
                              ［江干-钱江新城］钱潮路68号                            ",54376,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
海澜半岛西区(别墅)
","
                              ［余杭-临平］南大街,近临东路                            ",19488,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
星耀城
","
                              ［滨江-滨江区政府］江陵路2028号                            ",35990,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
新城山语院
","
                              ［余杭-临平北］星光街,近顺达路                            ",22568,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
野风海天城
","
                              ［江干-下沙沿江］听涛路174号                            ",26168,"<p class=""date"">竣工日期：2007年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
顺发旺角城
","
                              ［萧山-萧山市区］市心中路123号                            ",41569,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中赢康康谷
","
                              ［滨江-滨江区政府］春晓路,近滨兴路                            ",39567,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中港罗兰小镇
","
                              ［余杭-中泰］210省道                            ",18908,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金沙国际
","
                              ［江干-金沙湖］幸福南路1288号                            ",16479,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
万科北宸之光
","
                              ［余杭-勾庄］通运路                            ",30312,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
朗诗未来街区西园
","
                              ［余杭-乔司］天万路,近苑中路                            ",25617,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
信达柳郡
","
                              ［余杭-瓶窑］瓶仓大道,近羊城大道                            ",20096,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
荷花塘小区
","
                              ［余杭-临平北］星光街                            ",19273,"<p class=""date"">竣工日期：1999年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
复地上城
","
                              ［余杭-闲林］文一西路,近东西大道                            ",25160,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿城桃源小镇东方苑
","
                              ［余杭-闲林］闲沈路                            ",27368,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
开元名郡
","
                              ［萧山-南部卧城］向旭支路,近晨晖路                            ",28956,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
心怡花园
","
                              ［萧山-萧山市区］萧绍路,近萧然东路                            ",21159,"<p class=""date"">竣工日期：1998年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
通和南岸花城(公寓)
","
                              ［萧山-湘湖闻堰］时代大道                            ",24874,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
保元泽第(别墅)
","
                              ［余杭-临平］世纪大道                            ",24954,"<p class=""date"">竣工日期：2008年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
众安嘉润公馆
","
                              ［萧山-钱江世纪城］金鸡路,近潮韵路                            ",31467,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
坤和求是里
","
                              ［西湖-留下］求和路                            ",48549,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
万泰城章
","
                              ［余杭-临平］世纪大道,近望梅路                            ",23065,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
育才东苑
","
                              ［萧山-萧山市区］育东路107号                            ",27574,"<p class=""date"">竣工日期：1995年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
人和家园
","
                              ［西湖-小和山］天目山路1号                            ",22735,"<p class=""date"">竣工日期：2005年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
广宇万科公园里
","
                              ［拱墅-康桥］桃源街                            ",34945,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
擎天半岛(公寓)
","
                              ［余杭-星桥］藕花洲大街159号                            ",21723,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
万科良渚文化村未来城
","
                              ［余杭-良渚］疏港路,近104国道                            ",29149,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
理想银泰城(公寓)
","
                              ［余杭-临平］世纪大道118号                            ",25266,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
保利江语海
","
                              ［江干-高教园区(东)］之江东路,近6号大街                            ",33728,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿城蓝色钱江(公寓)
","
                              ［上城-南星］鲲鹏路                            ",78277,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
银河小区
","
                              ［萧山-萧山市区］永久路219号                            ",29265,"<p class=""date"">竣工日期：1998年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
临江花园
","
                              ［滨江-彩虹城］西环路33号                            ",31463,"<p class=""date"">竣工日期：2003年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
和顺风尚蓝湾
","
                              ［滨江-钱江湾］西浦路1569号                            ",18597,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
融信澜天(别墅)
","
                              ［余杭-良渚］立新路,玉鸟路                            ",23165,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
广厦天都城天星苑
","
                              ［余杭-星桥］场环路,近欢乐大道                            ",21668,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中大吴庄
","
                              ［上城-清波］四宜路21号                            ",143350,"<p class=""date"">竣工日期：2001年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金沙曲苑
","
                              ［西湖-西湖景区］赵公堤路1号                            ",19348,"<p class=""date"">竣工日期：2005年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
三江花园(公寓)
","
                              ［萧山-湘湖闻堰］万达中路26号                            ",24845,"<p class=""date"">竣工日期：2001年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
九溪玫瑰园(别墅)
","
                              ［西湖-西湖景区］五云西路8号                            ",123184,"<p class=""date"">竣工日期：2000年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
西溪八方城
","
                              ［余杭-未来科技城］文一西路,近荆长路                            ",29103,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中天之江诚品
","
                              ［西湖-转塘］320国道                            ",34064,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
万宝城
","
                              ［余杭-临平北］荷禹路105号                            ",15782,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
众安景海湾(公寓)
","
                              ［萧山-萧山桥南］弘慧路                            ",25612,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
广宇鼎悦府
","
                              ［余杭-临平］南大街329号                            ",34346,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
风华苑
","
                              ［余杭-临平］世纪大道19号                            ",21738,"<p class=""date"">竣工日期：2008年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
宋都晨光国际
","
                              ［江干-下沙沿江］23号大街,近16号大街                            ",28822,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
清源上林湖
","
                              ［富阳-银湖］上林路1号                            ",24475,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
汇宇花园
","
                              ［萧山-萧山市区］南秀路1399号                            ",26960,"<p class=""date"">竣工日期：2005年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
融创河滨之城水澜轩
","
                              ［西湖-紫金港］五常港路,近余杭塘路                            ",54699,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿地旭辉城
","
                              ［滨江-滨江区政府］七甲路                            ",49973,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
泊林印象
","
                              ［江干-九堡客运站］仁爱路218号                            ",36434,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿城蓝庭(东区)
","
                              ［余杭-临平北］振兴西路,近星河路                            ",24213,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
育才西苑
","
                              ［萧山-萧山市区］育才北路,近北干山南路                            ",27084,"<p class=""date"">竣工日期：1997年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
招商雍和府
","
                              ［江干-艮北新城］兴建路                            ",35878,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
嘉里云荷廷
","
                              ［西湖-之江度假区］之江路                            ",33538,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
滨江金色江南
","
                              ［萧山-钱江世纪城］飞虹路,近永晖路                            ",47077,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
南北乐章
","
                              ［余杭-瓶窑］溪东路                            ",19873,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
阳光郡
","
                              ［拱墅-都市水乡］莫干山路1399号                            ",32663,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
德圣博奥城
","
                              ［萧山-经开区］建设二路528号                            ",40687,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
久恒铭鹤花园
","
                              ［富阳-银湖］科创西路                            ",22550,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
万象城悦府
","
                              ［江干-钱江新城］富春路701号                            ",70262,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
丽晶国际
","
                              ［萧山-钱江世纪城］鸿宁路2327号                            ",31027,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
新世界琅琴湾
","
                              ［萧山-江东新城］青西一路                            ",18691,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
龙湖武林九里
","
                              ［江干-丁桥］同协路                            ",32612,"<p class=""date"">竣工日期：2018年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
嘉和银领时代(公寓)
","
                              ［余杭-星桥］藕花洲大街,近星桥南路                            ",20851,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
江湾绿苑
","
                              ［萧山-瓜沥］毛家上路                            ",15394,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金都西花庭
","
                              ［余杭-老余杭］狮山路,近余杭塘河                            ",26346,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
东冠逸景花苑
","
                              ［余杭-乔司］城隍中路                            ",26013,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
都市水乡水秀苑
","
                              ［西湖-三墩］民意街45号                            ",29437,"<p class=""date"">竣工日期：2006年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
华庭云顶
","
                              ［富阳-银湖］沪瑞线                            ",18032,"<p class=""date"">竣工日期：2005年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
